,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng,is_food
18436,49,Hootie's Bait &amp; Tackle  1711 Crossroads Drive ,4.8,19,"American, Barfood, Wings, Seafood, Fish and Chips, Desserts, Fast Food, Bar Food, Sandwich",2,"1711 Crossroads Drive, Grapevine, TX, 76051",76051,32.9222165,-97.0889611,0
4184,55,Famous Dave's  Tukwila ,4.3,200,"American, BBQ, Family Meals, Group Friendly",2,"17770 South Center Parkway, Tukwila, WA, 98188",98188,47.4444101,-122.2608362,0
4925,32,Peterson Bros. 1111,4.9,134,"American, Sandwich",2,"1111 S 11th St, Tacoma, WA, 98405",98405,47.252121,-122.452186,0
13655,227,Casablanca Cafe,4.7,140,"Breakfast and Brunch, American, Sandwiches",2,"8325 Old Marlboro Pike, Upper Marlboro, MD, 20772",20772,38.835939,-76.8621536,0
8439,18,Fat Petes BBQ,4.3,211,"BBQ, Family Friendly",2,"3407 Connecticut Ave NW, Washington, DC, 20008",20008,38.934741,-77.057574,0
16130,66,Applebee's  Lubbock S. Loop ,4.2,72,"American, Burgers, Sandwich, Comfort Food, Pasta, Salads, Sandwiches, Steak, Wings",2,"4025 South Loop, Lubbock, TX, 79423",79423,33.5290003,-101.9012337,0
16794,165,Palenque Grill  La Cantera ,5.0,19,"Mexican, Latin American, New Mexican, Seafood, Steak, Chicken, Family Meals, Family Friendly",2,"15900 La Cantera Pkwy, San Antonio, TX, 78256",78256,29.592398,-98.6113062,0
5674,6,KFC  10575 Silverdale Way Nw ,4.5,55,"American, Fast Food, Comfort Food, Southern, Family Meals, Family Friendly",3,"10575, Silverdale, WA, 98383",98383,47.659301,-122.686584,0
11536,28,"TGI Friday's  1191 - Midlothian, VA Richmond/Swift Creek  ",4.6,137,"Burgers, Bar Food, American, Fast Food, Family Meals",2,"13140 Rittenhouse Drive, Midlothian, VA, 23112",23112,37.4167931,-77.6399144,0
15936,13,"TGI Friday's  570 - Garland, TX ",4.5,167,"Burgers, Bar Food, American, Family Meals",2,"220 Coneflower Drive, Garland, TX, 75040",75040,32.951182,-96.6131061,0
12140,182,Popeyes  9581 Braddock Road ,4.7,244,"American, Chicken, Family Meals, Fried Chicken, Comfort Food",2,"9581 Braddock Rd, Fairfax, VA, 22032",22032,38.8183442,-77.2759214,0
6450,15,Outback Steakhouse  478 Andis Rd. ,4.2,13,American,2,"478 Andis Rd., Burlington, WA, 98233",98233,48.466082,-122.340349,0
14170,8,Sonic  Ogden ,4.1,71,"American, Fast Food, Burgers",2,"1241 Washington Blvd, Ogden, UT, 84404",84404,41.2433224,-111.9704957,0
14667,17,Chili's  311 N. Redcliff Dr. ,4.5,58,"American, Burgers, Salads, Family Meals, Healthy, Comfort Food, Pasta, Sandwiches, Steak, Wings",2,"311 N. Redcliff Dr., St. George, UT, 84790-8158",84790-8158,37.11348,-113.55458,0
1347,17,Hootie's Bait &amp; Tackle  2639 East Springs Drive ,3.3,14,"American, Barfood, Wings, Seafood, Fish and Chips, Desserts, Fast Food, Bar Food, Sandwich",2,"2639 East Springs Drive, Madison, WI, 53704",53704,43.132042,-89.30152,0
11236,34,Zoe's Kitchen  1500 South Main St; Suite 100 ,4.9,29,"Healthy, Family Meals",2,"1500 South Main St;, Blacksburg, VA, 24060",24060,37.213471,-80.4006104,0
3545,143,The Three Lions Pub  Downtown Redmond ,4.7,14,"Burgers, American, Bar Food",2,"8115 161st Avenue Northeast, Redmond, WA, 98052",98052,47.6760224,-122.126262,0
10350,43,Mon Ami Gabi  Bethesda ,4.6,34,"French, Seafood, Steak, Chicken, Family Meals, Family Friendly",3,"7239 Woodmont Ave, Bethesda, MD, 20814",20814,38.9815592,-77.0954605,0
14512,159,Applebee's  West Valley ,4.5,100,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",2,"2175 W City Center Ct, West Valley City, UT, 84119",84119,40.6989501,-111.947919,0
16163,9,BJ's Restaurant &amp; Brewhouse  Lubbock #534 ,4.8,182,"American, Burgers, Pizza, Family Meals",2,"4805 South Loop 289 Bldg #100, Lubbock, TX, 79424",79424,33.5315453,-101.9144039,0
17350,20,Sonic  10169 First Chapel Drive ,4.5,52,"American, Fast Food, Burgers",2,"10169 First Chapel Drive, Fort Worth, TX, 76108",76108,32.7285306,-97.5029056,0
10064,52,Popeyes  Vienna ,4.5,178,"American, Chicken, Family Meals, Fried Chicken, Comfort Food",2,"325 Maple Ave E, Vienna, VA, 22180",22180,38.9046577,-77.2591301,0
13309,17,Papa Johns  671 Piney Forest Road ,4.8,12,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food",2,"671 Piney Forest Road, Danville, VA, 24540",24540,36.61078,-79.40634,0
5738,7,Denny's  20420 Mountain Hwy ,4.5,131,"American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy, Family Friendly",2,"20420 Mountain Highway, Spanaway, WA, 98387",98387,47.0714682,-122.4197611,0
18731,68,Whataburger  601 Barton Springs Rd ,4.3,67,"Fast Food, American, Burgers",2,"601 Barton Springs Rd, Austin, TX, 78704",78704,30.2582,-97.75063,0
18150,109,Denny's  4601 S Hulen Rd ,4.0,30,"American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Family Meals, Healthy",2,"4601 S Hulen Rd., Fort Worth, TX, 76132",76132,32.6798621,-97.393084,0
6913,83,Applebee's  Factoria Mall ,4.6,110,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",2,"3520 Factoria Blvd. SE, Bellevue, WA, 98006",98006,47.5788716,-122.1683418,0
16351,43,Suck It: The Restaurant,4.8,164,Sushi,2,"7220 Louis Pasteur Dr, San Antonio, TX, 78229",78229,29.5007441,-98.5765564,0
16709,37,Taco-Tex,4.2,32,"Mexican, Latin American, New Mexican",2,"15104 San Pedro Avenue, San Antonio, TX, 78232",78232,29.57947,-98.476615,0
13922,6,Denny's  361 South Main Street ,3.9,11,"American, Breakfast and Brunch, Coffee and Tea, Dinner, Desserts, Salads, Steak, Sandwich, Healthy, Family Meals",2,"361 South Main Street, Rutland, VT, 05701",5701,43.585102,-72.9674383,0
